time,x,y
1646.229035,4258399.294753701,7373426.028287062
1646.249037,4258397.843753455,7373426.5721430555
1646.269039,4258396.3922996335,7373427.115856965
1646.28904,4258394.929197345,7373427.663472562
1646.309044,4258393.482046183,7373428.204909145
1646.329036,4258392.037489878,7373428.74552115
1646.3490390000002,4258390.586451252,7373429.289060553
1646.3690410000002,4258389.135887953,7373429.833279681
1646.388824,4258387.880607626,7373430.305119823
1646.409639,4258386.187826437,7373430.94232446
1646.429035,4258384.786336957,7373431.470167849
1646.449039,4258383.335302956,7373432.016440401
1646.469,4258381.885332046,7373432.561591336
1646.4890380000002,4258380.424227957,7373433.109842093
1646.509002,4258378.984887939,7373433.64913471
1646.529003,4258377.530099475,7373434.193871057
1646.549002,4258376.0829701,7373434.735847179
1646.569001,4258374.633475911,7373435.279269033
1646.589005,4258373.168988431,7373435.829234252
1646.609002,4258371.734022693,7373436.368892215
1646.629009,4258370.283644423,7373436.914879228
1646.649001,4258368.834609803,7373437.46064418
1646.66876,4258367.58995787,7373437.9294651775
1646.689675,4258365.867984228,7373438.577882477
1646.709002,4258364.488326077,7373439.097272502
1646.729002,4258363.037893913,7373439.643300179
1646.749001,4258361.585824491,7373440.190049695
1646.769002,4258360.138847619,7373440.735099709
1646.7891,4258358.664269045,7373441.290855627
1646.809006,4258357.234711751,7373441.829888673
1646.829005,4258355.783360204,7373442.377296146
1646.8490020000002,4258354.338847875,7373442.922190973
1646.869002,4258352.889367992,7373443.468936227
1646.889007,4258351.423478704,7373444.021770971
1646.909005,4258349.978659541,7373444.566556018
1646.928758,4258348.747305482,7373445.030781517
1646.952064,4258346.865864095,7373445.739989149
1646.969002,4258345.643734672,7373446.200615892
1646.989021,4258344.183485067,7373446.750961695
1647.009004,4258342.746955793,7373447.292411146
1647.029002,4258341.299288329,7373447.838193516
1647.049001,4258339.850612568,7373448.384582896
1647.069002,4258338.402147409,7373448.931211428
1647.0890040000002,4258336.942070753,7373449.482611666
1647.109001,4258335.505186358,7373450.025588791
1647.128995,4258334.2452966785,7373450.50189508
1647.149002,4258332.605959531,7373451.121861675
1647.1690230000002,4258331.148173489,7373451.673282312
1647.189003,4258329.694188522,7373452.223298797
1647.208761,4258328.463764435,7373452.688755572
1647.229639,4258326.76426019,7373453.331663897
1647.249002,4258325.365256378,7373453.860889093
1647.269005,4258323.915322665,7373454.40936512
1647.289003,4258322.458020589,7373454.960587153
1647.309002,4258321.021744553,7373455.503718219
1647.3290040000002,4258319.574761951,7373456.050641391
1647.349003,4258318.12874967,7373456.596822442
1647.369003,4258316.680842603,7373457.143224955
1647.389011,4258315.216236278,7373457.695378403
1647.409001,4258313.783702174,7373458.235169565
1647.429002,4258312.334884756,7373458.781177292
1647.449002,4258310.887672861,7373459.327014715
1647.4690010000002,4258309.4404796725,7373459.873634815
1647.489006,4258307.979619725,7373460.426455664
1647.509002,4258306.547092975,7373460.96926117
1647.528628,4258305.3060162235,7373461.439739302
1647.549639,4258303.608748563,7373462.082922252
1647.569002,4258302.210924571,7373462.6119509535
1647.589003,4258300.746737859,7373463.1650823075
1647.609002,4258299.3114847485,7373463.70651016
1647.629002,4258297.865490715,7373464.251602725
1647.649004,4258296.417731033,7373464.7973585315
1647.669002,4258294.970522124,7373465.343292943
1647.6890050000002,4258293.509640197,7373465.895064416
1647.7090050000002,4258292.076879503,7373466.436684166
1647.729,4258290.632405417,7373466.982874796
1647.749002,4258289.187345207,7373467.529101789
1647.769002,4258287.741549144,7373468.075091719
1647.789005,4258286.282472089,7373468.625333939
1647.811149,4258284.690993382,7373469.224844521
1647.829001,4258283.400795256,7373469.710608706
1647.8490020000002,4258281.95570693,7373470.254687696
1647.869002,4258280.508850712,7373470.7997046625
