time,position_type,lat,lon,alt,VN,VE,VD,heading
0.96602,rtk_fixed,58.0073834,56.3251959,154.196,-0.003,0.003,0.002,56.98474572571836
1.96602,rtk_fixed,58.0073834,56.3251958,154.19,-0.004,0.001,0.003,57.19259137607561
2.96604,rtk_fixed,58.0073834,56.3251959,154.193,0.004,0.004,0.001,58.050840980422485
3.96604,rtk_fixed,58.0073834,56.3251959,154.2,0.008,0.004,-0.018,58.46632752445378
4.96604,rtk_fixed,58.0073834,56.3251959,154.204,0.007,0.005,-0.02,58.00329065944971
5.96606,rtk_fixed,58.0073834,56.3251958,154.201,0.001,0.002,-0.007,56.78854081396217
6.96606,rtk_fixed,58.0073834,56.3251958,154.195,-0.002,0.002,-0.007,56.799604627780845
7.96608,rtk_fixed,58.0073834,56.3251958,154.188,-0.001,0.002,0.0,57.561290123435114
8.96608,rtk_fixed,58.0073834,56.3251958,154.183,-0.005,0.001,-0.001,58.16548166125963
9.96608,rtk_fixed,58.0073834,56.3251958,154.2,-0.001,0.0,0.001,58.10474519647023
10.9661,rtk_fixed,58.0073834,56.3251958,154.203,-0.003,0.002,0.0,57.46946967579878
11.9661,rtk_fixed,58.0073834,56.3251958,154.209,-0.001,0.0,0.008,58.27310279025273
12.9661,rtk_fixed,58.0073834,56.3251958,154.207,0.001,0.0,-0.004,56.7822883066129
13.96612,rtk_fixed,58.0073834,56.3251958,154.197,0.004,0.001,-0.003,57.935760733760155
14.96612,rtk_fixed,58.0073835,56.3251962,154.192,0.033,0.05,-0.009,57.98265360764224
15.96612,rtk_fixed,58.0073853,56.3252017,154.178,0.256,0.419,0.025,57.620434853146136
16.96614,rtk_fixed,58.0073891,56.3252128,154.157,0.47,0.751,0.019,57.418871101941164
17.96614,rtk_fixed,58.0073945,56.3252286,154.113,0.679,1.006,0.04,51.58749026818684
18.96616,rtk_fixed,58.0074024,56.3252457,154.084,0.934,0.983,0.019,41.10710016392982
19.96616,rtk_fixed,58.0074122,56.3252605,154.089,1.172,0.795,0.01,30.401130375357834
20.96616,rtk_fixed,58.0074236,56.3252706,154.087,1.316,0.484,-0.075,15.19020539963307
21.96618,rtk_fixed,58.0074371,56.3252755,154.089,1.58,0.189,-0.02,1.5976888129688107
22.96618,rtk_fixed,58.0074533,56.3252747,154.13,1.87,-0.14,-0.019,352.49309205185654
23.96618,rtk_fixed,58.0074715,56.3252699,154.14,2.091,-0.332,-0.047,350.62602524857033
24.9662,rtk_fixed,58.0074913,56.3252643,154.151,2.237,-0.318,0.054,352.5391695639172
25.9662,rtk_fixed,58.007513,56.3252584,154.157,2.45,-0.412,0.027,347.5579597899861
26.96622,rtk_fixed,58.0075345,56.3252462,154.169,2.307,-0.93,0.015,330.1463211499771
27.96622,rtk_fixed,58.0075501,56.3252208,154.164,1.548,-1.732,-0.061,300.15592429086786
28.96622,rtk_fixed,58.0075565,56.3251934,154.102,0.415,-1.444,0.024,279.6318952185588
29.96624,rtk_fixed,58.0075574,56.3251816,154.085,0.045,-0.371,0.013,271.06096159200956
30.96624,rtk_fixed,58.0075574,56.3251815,154.079,0.005,-0.004,0.001,270.85840884209335
31.96624,rtk_fixed,58.0075574,56.3251817,154.076,-0.005,0.038,0.001,270.96377874118093
32.96626,rtk_fixed,58.0075574,56.325184,154.082,-0.018,0.216,0.015,269.4476817550196
33.96626,rtk_fixed,58.0075579,56.3251924,154.106,0.034,0.579,0.044,261.9821308807826
34.96626,rtk_fixed,58.0075599,56.3252055,154.15,0.246,0.842,0.003,250.36085002487346
35.96628,rtk_fixed,58.0075648,56.3252216,154.181,0.501,0.933,0.062,235.0141758655015
36.96628,rtk_fixed,58.0075706,56.3252331,154.196,0.47,0.567,0.152,220.7305475080683
37.9663,rtk_fixed,58.0075726,56.3252357,154.18,0.012,-0.024,-0.015,218.5431030046191
38.9663,rtk_fixed,58.0075726,56.3252357,154.189,0.004,0.0,-0.004,218.33715248698104
39.9663,rtk_fixed,58.007572,56.3252347,154.177,-0.149,-0.124,-0.007,216.84177541672324
40.96632,rtk_fixed,58.0075679,56.3252285,154.174,-0.579,-0.464,-0.019,212.32668220059048
41.96632,rtk_fixed,58.0075561,56.3252159,154.137,-1.55,-0.782,-0.067,200.90428144497457
42.96632,rtk_fixed,58.0075367,56.3252067,154.102,-2.251,-0.354,-0.025,184.526249478384
43.96634,rtk_fixed,58.0075138,56.325207,154.078,-2.577,0.215,-0.064,173.27319074434638
44.96634,rtk_fixed,58.0074887,56.3252148,154.077,-2.804,0.572,-0.039,167.86438603265822
45.96634,rtk_fixed,58.0074624,56.3252262,154.064,-2.938,0.704,0.001,165.1846993846686
46.96636,rtk_fixed,58.0074367,56.3252382,154.072,-2.763,0.717,0.015,166.81551333581433
47.96636,rtk_fixed,58.007413,56.3252462,154.083,-2.575,0.332,-0.041,174.86208581929873
48.96638,rtk_fixed,58.007391,56.3252465,154.091,-2.468,-0.112,-0.017,185.9431117590573
49.96638,rtk_fixed,58.0073697,56.3252385,154.152,-2.358,-0.65,-0.011,197.81043447468713
50.96638,rtk_fixed,58.0073492,56.3252223,154.203,-2.196,-1.047,-0.065,209.8485641408884
51.9664,rtk_fixed,58.007336,56.3252051,154.239,-1.13,-0.899,-0.046,222.7979565855638
52.9664,rtk_fixed,58.00733,56.3251934,154.26,-0.536,-0.642,-0.005,234.62499423858947
53.9664,rtk_fixed,58.0073259,56.3251822,154.263,-0.428,-0.725,-0.045,243.19269973181002
54.96642,rtk_fixed,58.0073216,56.3251599,154.249,-0.375,-1.611,-0.016,258.33712924404045
55.96642,rtk_fixed,58.0073195,56.3251221,154.313,0.084,-2.466,-0.058,276.7688079391657
56.96644,rtk_fixed,58.0073248,56.3250825,154.362,0.82,-2.372,-0.089,297.7031568439333
57.96644,rtk_fixed,58.0073414,56.3250436,154.33,2.211,-2.27,0.043,319.0864248836892
58.96644,rtk_fixed,58.0073708,56.3250039,154.296,3.709,-2.376,-0.005,326.94566496608604
59.96646,rtk_fixed,58.0074106,56.3249591,154.305,4.698,-2.803,0.004,329.00117092304714
60.96646,rtk_fixed,58.0074599,56.3249048,154.32,5.809,-3.389,-0.017,329.9355875966503
61.96646,rtk_fixed,58.0075171,56.3248424,154.262,6.642,-3.822,0.016,328.56202754844287
62.96648,rtk_fixed,58.0075813,56.324772,154.223,7.282,-4.256,0.116,330.2418555518043
63.96648,rtk_fixed,58.0076495,56.3246963,154.235,7.683,-4.582,-0.048,328.3913971558207
64.96648,rtk_fixed,58.0077202,56.3246174,154.147,7.97,-4.753,0.06,328.82605586869454
65.9665,rtk_fixed,58.0077948,56.3245332,154.103,8.439,-5.028,0.136,329.36623173402955
66.9665,rtk_fixed,58.0078741,56.3244459,154.033,8.928,-5.253,0.123,328.524973535094
67.96652,rtk_fixed,58.0079573,56.3243528,153.854,9.402,-5.634,0.153,329.1760181838522
68.96652,rtk_fixed,58.0080453,56.3242557,153.646,9.94,-5.825,0.195,329.58774378456513
69.96652,rtk_fixed,58.0081356,56.3241553,153.472,10.05,-6.013,0.194,328.4337658918801
70.96654,rtk_fixed,58.0082255,56.3240523,153.317,9.998,-6.086,0.135,328.86415856247004
71.96654,rtk_fixed,58.008315,56.3239456,153.268,9.955,-6.416,0.069,327.30130647150577
72.96654,rtk_fixed,58.0084043,56.3238336,153.15,9.978,-6.706,0.056,324.5756622898574
73.96656,rtk_fixed,58.008494,56.3237167,153.047,9.969,-6.994,0.115,325.37943093412605
74.96656,rtk_fixed,58.008585,56.3235981,153.066,10.127,-7.044,-0.009,325.0825382758316
75.96656,rtk_fixed,58.0086749,56.3234785,153.154,9.912,-7.066,-0.041,325.28272567575283
76.96658,rtk_fixed,58.0087643,56.3233614,153.281,9.902,-6.812,-0.297,326.0958965723384
77.96658,rtk_fixed,58.0088526,56.3232478,153.252,10.018,-6.64,-0.271,325.9033773234735
78.9666,rtk_fixed,58.0089414,56.3231349,153.215,10.028,-6.671,-0.16,325.4075704156225
79.9666,rtk_fixed,58.009031,56.3230234,153.193,9.942,-6.643,0.007,325.0032221307624
80.9666,rtk_fixed,58.0091203,56.3229125,153.271,9.893,-6.561,-0.019,326.61114024261735
81.96662,rtk_fixed,58.0092095,56.322801,153.296,9.887,-6.624,0.017,325.57113934678375
82.96662,rtk_fixed,58.009298,56.3226883,153.347,9.926,-6.602,0.025,326.3681456989479
83.96662,rtk_fixed,58.0093859,56.322576,153.344,9.712,-6.699,-0.101,325.7830144780133
84.96664,rtk_fixed,58.0094723,56.3224633,153.377,9.6,-6.666,-0.024,323.7808955747447
85.96664,rtk_fixed,58.009557,56.3223513,153.351,9.319,-6.593,0.021,325.0258414557008
86.96666,rtk_fixed,58.0096398,56.3222417,153.344,9.184,-6.413,0.026,323.5668133638847
87.96666,rtk_fixed,58.0097222,56.322134,153.399,9.187,-6.314,-0.033,324.1538977618662
88.96666,rtk_fixed,58.0098054,56.3220268,153.461,9.275,-6.363,-0.176,325.2024642019643
89.96668,rtk_fixed,58.0098901,56.3219197,153.472,9.463,-6.305,0.002,326.19128864434657
90.96668,rtk_fixed,58.0099761,56.3218127,153.559,9.491,-6.276,-0.07,325.40361968631396
91.96668,rtk_fixed,58.010061,56.3217064,153.527,9.398,-6.322,0.014,324.65113623462327
92.9667,rtk_fixed,58.0101448,56.3215984,153.471,9.32,-6.432,0.101,325.9711723740807
93.9667,rtk_fixed,58.0102283,56.3214905,153.502,9.31,-6.41,0.011,324.11534066340295
94.9667,rtk_fixed,58.0103123,56.3213817,153.474,9.345,-6.427,0.004,324.12196900960174
95.96672,rtk_fixed,58.0103962,56.3212718,153.464,9.377,-6.513,0.046,324.5826095287664
