time,position_type,lat,lon,alt,VN,VE,VD
0.966020,rtk_fixed,58.007383400,56.325195900,154.196,-0.003,0.003,0.002
1.966020,rtk_fixed,58.007383400,56.325195800,154.190,-0.004,0.001,0.003
2.966040,rtk_fixed,58.007383400,56.325195900,154.193,0.004,0.004,0.001
3.966040,rtk_fixed,58.007383400,56.325195900,154.200,0.008,0.004,-0.018
4.966040,rtk_fixed,58.007383400,56.325195900,154.204,0.007,0.005,-0.020
5.966060,rtk_fixed,58.007383400,56.325195800,154.201,0.001,0.002,-0.007
6.966060,rtk_fixed,58.007383400,56.325195800,154.195,-0.002,0.002,-0.007
7.966080,rtk_fixed,58.007383400,56.325195800,154.188,-0.001,0.002,0.000
8.966080,rtk_fixed,58.007383400,56.325195800,154.183,-0.005,0.001,-0.001
9.966080,rtk_fixed,58.007383400,56.325195800,154.200,-0.001,0.000,0.001
10.966100,rtk_fixed,58.007383400,56.325195800,154.203,-0.003,0.002,0.000
11.966100,rtk_fixed,58.007383400,56.325195800,154.209,-0.001,0.000,0.008
12.966100,rtk_fixed,58.007383400,56.325195800,154.207,0.001,0.000,-0.004
13.966120,rtk_fixed,58.007383400,56.325195800,154.197,0.004,0.001,-0.003
14.966120,rtk_fixed,58.007383500,56.325196200,154.192,0.033,0.050,-0.009
15.966120,rtk_fixed,58.007385300,56.325201700,154.178,0.256,0.419,0.025
16.966140,rtk_fixed,58.007389100,56.325212800,154.157,0.470,0.751,0.019
17.966140,rtk_fixed,58.007394500,56.325228600,154.113,0.679,1.006,0.040
18.966160,rtk_fixed,58.007402400,56.325245700,154.084,0.934,0.983,0.019
19.966160,rtk_fixed,58.007412200,56.325260500,154.089,1.172,0.795,0.010
20.966160,rtk_fixed,58.007423600,56.325270600,154.087,1.316,0.484,-0.075
21.966180,rtk_fixed,58.007437100,56.325275500,154.089,1.580,0.189,-0.020
22.966180,rtk_fixed,58.007453300,56.325274700,154.130,1.870,-0.140,-0.019
23.966180,rtk_fixed,58.007471500,56.325269900,154.140,2.091,-0.332,-0.047
24.966200,rtk_fixed,58.007491300,56.325264300,154.151,2.237,-0.318,0.054
25.966200,rtk_fixed,58.007513000,56.325258400,154.157,2.450,-0.412,0.027
26.966220,rtk_fixed,58.007534500,56.325246200,154.169,2.307,-0.930,0.015
27.966220,rtk_fixed,58.007550100,56.325220800,154.164,1.548,-1.732,-0.061
28.966220,rtk_fixed,58.007556500,56.325193400,154.102,0.415,-1.444,0.024
29.966240,rtk_fixed,58.007557400,56.325181600,154.085,0.045,-0.371,0.013
30.966240,rtk_fixed,58.007557400,56.325181500,154.079,0.005,-0.004,0.001
31.966240,rtk_fixed,58.007557400,56.325181700,154.076,-0.005,0.038,0.001
32.966260,rtk_fixed,58.007557400,56.325184000,154.082,-0.018,0.216,0.015
33.966260,rtk_fixed,58.007557900,56.325192400,154.106,0.034,0.579,0.044
34.966260,rtk_fixed,58.007559900,56.325205500,154.150,0.246,0.842,0.003
35.966280,rtk_fixed,58.007564800,56.325221600,154.181,0.501,0.933,0.062
36.966280,rtk_fixed,58.007570600,56.325233100,154.196,0.470,0.567,0.152
37.966300,rtk_fixed,58.007572600,56.325235700,154.180,0.012,-0.024,-0.015
38.966300,rtk_fixed,58.007572600,56.325235700,154.189,0.004,0.000,-0.004
39.966300,rtk_fixed,58.007572000,56.325234700,154.177,-0.149,-0.124,-0.007
40.966320,rtk_fixed,58.007567900,56.325228500,154.174,-0.579,-0.464,-0.019
41.966320,rtk_fixed,58.007556100,56.325215900,154.137,-1.550,-0.782,-0.067
42.966320,rtk_fixed,58.007536700,56.325206700,154.102,-2.251,-0.354,-0.025
43.966340,rtk_fixed,58.007513800,56.325207000,154.078,-2.577,0.215,-0.064
